Continent	Country	CountryConsangPercent
Middle East	Turkey	20.9495387149918
South Asia	Pakistan	46.782359679266904
Africa	Kenya	
Africa	South Africa	4.165573770491799
Europe	Spain	4.28813638486688
Middle East	Saudi Arabia	34.6872807901633
Africa	Congo	
East Asia	Cambodia	
America	Colombia	
East Asia	China	9.98130497571222
Middle East	Syria	32.0550396066648
Europe	France	0.821985815602837
South Asia	Afghanistan	44.0795932678822
Europe	Italy	1.1354792560801101
East Asia	Japan	5.911957635804581
America	Brazil	
South Asia	India	24.841024012196698
Africa	Mali	
America	Mexico	
Oceania	New Guinea	
East Asia	Mongolia	
Middle East	Algeria	22.6
Europe	England	
Middle East	Palestine	
America	United States	
Europe	Russia	
Middle East	Russia	
Africa	Nigeria	51.2
